['Tuesday - 11 May 2021', '06:30', 'Gym Entry Time', '1475735']
['Tuesday - 11 May 2021', '07:00', 'Gym Entry Time', '1476087']
['Tuesday - 11 May 2021', '07:00', 'Sweat Studio Time', '1522385']
['Tuesday - 11 May 2021', '07:00', 'Killer Combat', '1523499']
['Tuesday - 11 May 2021', '07:30', 'Holistic Studio Time', '1522739']
['Tuesday - 11 May 2021', '07:30', 'Gym Entry Time', '1476239']
['Tuesday - 11 May 2021', '08:00', 'Ride Studio Time', '1522995']
['Tuesday - 11 May 2021', '08:00', 'Gym Entry Time', '1476441']
['Tuesday - 11 May 2021', '08:30', 'Gym Entry Time', '1476543']
['Tuesday - 11 May 2021', '09:00', 'Gym Entry Time', '1476595']
['Tuesday - 11 May 2021', '09:30', 'Gym Entry Time', '1476847']
['Tuesday - 11 May 2021', '10:00', 'Gym Entry Time', '1476999']
['Tuesday - 11 May 2021', '10:30', 'Gym Entry Time', '1477151']
['Tuesday - 11 May 2021', '11:00', 'Gym Entry Time', '1477403']
['Tuesday - 11 May 2021', '11:30', 'Gym Entry Time', '1477605']
['Tuesday - 11 May 2021', '12:00', 'Bodyweight Bandits', '1523507']
['Tuesday - 11 May 2021', '12:00', 'Sweat Studio Time', '1522435']
['Tuesday - 11 May 2021', '12:00', 'Gym Entry Time', '1477707']
['Tuesday - 11 May 2021', '12:30', 'Holistic Studio Time', '1522753']
['Tuesday - 11 May 2021', '12:30', 'Gym Entry Time', '1477809']
['Tuesday - 11 May 2021', '13:00', 'Gym Entry Time', '1477911']
['Tuesday - 11 May 2021', '13:00', 'Ride Studio Time', '1523015']
['Tuesday - 11 May 2021', '13:30', 'Gym Entry Time', '1477963']
['Tuesday - 11 May 2021', '14:00', 'Gym Entry Time', '1478115']
['Tuesday - 11 May 2021', '14:30', 'Gym Entry Time', '1478267']
['Tuesday - 11 May 2021', '15:00', 'Gym Time', '1478519']
['Tuesday - 11 May 2021', '15:30', 'Gym Entry Time', '1478671']
['Tuesday - 11 May 2021', '16:00', 'Gym Entry Time', '1479023']
['Tuesday - 11 May 2021', '16:30', 'Gym Entry Time', '1479275']
['Tuesday - 11 May 2021', '17:00', 'Sweat Studio Time', '1522485']
['Tuesday - 11 May 2021', '17:00', 'Gym Entry Time', '1479377']
['Tuesday - 11 May 2021', '17:30', 'Ride Studio Time', '1523045']
['Tuesday - 11 May 2021', '17:30', 'Gym Entry Time', '1479429']
['Tuesday - 11 May 2021', '18:00', 'MetCon', '1523523']
['Tuesday - 11 May 2021', '18:00', 'Holistic Studio Time', '1522767']
['Tuesday - 11 May 2021', '18:00', 'Gym Entry Time', '1479531']
['Tuesday - 11 May 2021', '18:30', 'Gym Time', '1479633']
['Tuesday - 11 May 2021', '18:45', 'Ride Studio Time', '1523055']
['Tuesday - 11 May 2021', '19:00', 'Gym Entry Time', '1479785']
['Tuesday - 11 May 2021', '19:30', 'Gym Entry Time', '1479937']
['Tuesday - 11 May 2021', '20:00', 'Gym Entry Time', '1480393']
['Tuesday - 11 May 2021', '20:30', 'Gym Entry Time', '1480745']
['Tuesday - 11 May 2021', '21:00', 'Gym Entry Time', '1481047']
['Tuesday - 11 May 2021', '21:30', 'Gym Entry Time', '1481199']
['Tuesday - 11 May 2021', '22:00', 'Last Entry Time', '1496971']
['Wednesday - 12 May 2021', '22:00', 'Last Entry Time', '1496971']
['Wednesday - 12 May 2021', '22:00', 'Last Entry Time', '1496971']
['Wednesday - 12 May 2021', '06:00', 'Gym Entry Time', '1496971']
['Wednesday - 12 May 2021', '06:30', 'Gym Entry Time', '1482476']
['Wednesday - 12 May 2021', '07:00', 'Gym Entry Time', '1482528']
['Wednesday - 12 May 2021', '07:00', 'Hardcore', '1523535']
['Wednesday - 12 May 2021', '07:30', 'Holistic Studio Time', '1522565']
['Wednesday - 12 May 2021', '07:30', 'Gym Entry Time', '1482580']
['Wednesday - 12 May 2021', '07:30', 'Ride Studio Time', '1522793']
['Wednesday - 12 May 2021', '08:00', 'Gym Entry Time', '1482632']
['Wednesday - 12 May 2021', '08:00', 'Sweat Studio Time', '1522395']
['Wednesday - 12 May 2021', '08:30', 'Gym Entry Time', '1482684']
['Wednesday - 12 May 2021', '09:00', 'Gym Entry Time', '1482736']
['Wednesday - 12 May 2021', '09:30', 'Gym Entry Time', '1482840']
['Wednesday - 12 May 2021', '10:00', 'Gym Entry Time', '1482996']
['Wednesday - 12 May 2021', '10:30', 'Gym Entry Time', '1483302']
['Wednesday - 12 May 2021', '11:00', 'Gym Entry Time', '1483454']
['Wednesday - 12 May 2021', '11:30', 'Gym Entry Time', '1483658']
['Wednesday - 12 May 2021', '12:00', 'BadAss', '1523539']
['Wednesday - 12 May 2021', '12:00', 'Gym Entry Time', '1483762']
['Wednesday - 12 May 2021', '12:00', 'Ride Studio Time', '1522807']
['Wednesday - 12 May 2021', '12:00', 'Holistic Studio Time', '1522575']
['Wednesday - 12 May 2021', '12:30', 'Gym Entry Time', '1483814']
['Wednesday - 12 May 2021', '13:00', 'Gym Entry Time', '1484018']
['Wednesday - 12 May 2021', '13:00', 'Sweat Studio Time', '1522445']
['Wednesday - 12 May 2021', '13:30', 'Gym Entry Time', '1484176']
['Wednesday - 12 May 2021', '14:00', 'Gym Entry Time', '1484330']
['Wednesday - 12 May 2021', '14:30', 'Gym Entry Time', '1484534']
['Wednesday - 12 May 2021', '15:00', 'Gym Entry Time', '1484738']
['Wednesday - 12 May 2021', '15:30', 'Gym Entry Time', '1484894']
['Wednesday - 12 May 2021', '16:00', 'Gym Entry Time', '1485048']
['Wednesday - 12 May 2021', '16:30', 'Gym Entry Time', '1485252']
['Wednesday - 12 May 2021', '17:00', 'Track Mafia', '1523547']
['Wednesday - 12 May 2021', '17:00', 'Holistic Studio Time', '1522585']
['Wednesday - 12 May 2021', '17:00', 'Gym Entry Time', '1485406']
['Wednesday - 12 May 2021', '17:30', 'Gym Time', '1485509']
['Wednesday - 12 May 2021', '17:30', 'Ride Studio Time', '1522821']
['Wednesday - 12 May 2021', '18:00', 'Gym Entry Time', '1485663']
['Wednesday - 12 May 2021', '18:00', 'Sweat Studio Time', '1522495']
['Wednesday - 12 May 2021', '18:30', 'Gym Entry Time', '1485869']
['Wednesday - 12 May 2021', '18:45', 'Ride Studio Time', '1522843']
['Wednesday - 12 May 2021', '19:00', 'Gym Entry Time', '1486023']
['Wednesday - 12 May 2021', '19:30', 'Gym Entry Time', '1486175']
['Wednesday - 12 May 2021', '20:00', 'Gym Entry Time', '1486277']
['Wednesday - 12 May 2021', '20:30', 'Gym Entry Time', '1486329']
['Wednesday - 12 May 2021', '21:00', 'Gym Entry Time', '1486431']
['Wednesday - 12 May 2021', '21:30', 'Gym Entry Time', '1486483']
['Wednesday - 12 May 2021', '22:00', 'Last Entry Time', '1497023']
['Thursday - 13 May 2021', '22:00', 'Last Entry Time', '1497023']
['Thursday - 13 May 2021', '22:00', 'Last Entry Time', '1497023']
['Thursday - 13 May 2021', '06:00', 'Gym Entry Time', '1487195']
['Thursday - 13 May 2021', '06:30', 'Gym Entry Time', '1487349']
['Thursday - 13 May 2021', '07:00', 'Sweat Studio Time', '1522405']
['Thursday - 13 May 2021', '07:00', ' Escalate', '1523475']
['Thursday - 13 May 2021', '07:00', 'Gym Entry Time', '1487555']
['Thursday - 13 May 2021', '07:30', 'Holistic Studio Time', '1522595']
['Thursday - 13 May 2021', '07:30', 'Gym Entry Time', '1487918']
['Thursday - 13 May 2021', '08:00', 'Ride Studio Time', '1522853']
['Thursday - 13 May 2021', '08:00', 'Gym Entry Time', '1488022']
['Thursday - 13 May 2021', '08:30', 'Gym Entry Time', '1488126']
['Thursday - 13 May 2021', '09:00', 'Gym Entry Time', '1489150']
['Thursday - 13 May 2021', '09:30', 'Gym Entry Time', '1489309']
['Thursday - 13 May 2021', '10:00', 'Gym Entry Time', '1506099']
['Thursday - 13 May 2021', '10:30', 'Gym Entry Time', '1489773']
['Thursday - 13 May 2021', '11:00', 'Gym Entry Time', '1490031']
['Thursday - 13 May 2021', '11:30', 'Gym Entry Time', '1490237']
['Thursday - 13 May 2021', '12:00', 'Gym Entry Time', '1490446']
['Thursday - 13 May 2021', '12:00', 'MetCon', '1523527']
['Thursday - 13 May 2021', '12:00', 'Sweat Studio Time', '1522455']
['Thursday - 13 May 2021', '12:30', 'Gym Entry Time', '1490601']
['Thursday - 13 May 2021', '12:30', 'Holistic Studio Time', '1522605']
['Thursday - 13 May 2021', '13:00', 'Ride Studio Time', '1522867']
['Thursday - 13 May 2021', '13:00', 'Gym Entry Time', '1490757']
['Thursday - 13 May 2021', '13:30', 'Gym Entry Time', '1491682']
['Thursday - 13 May 2021', '14:00', 'Gym Entry Time', '1491734']
['Thursday - 13 May 2021', '14:30', 'Gym Entry Time', '1491786']
['Thursday - 13 May 2021', '15:00', 'Gym Entry Time', '1491815']
['Thursday - 13 May 2021', '15:30', 'Gym Entry Time', '1491890']
['Thursday - 13 May 2021', '16:00', 'Gym Entry Time', '1491942']
['Thursday - 13 May 2021', '16:30', 'Gym Time', '1491994']
['Thursday - 13 May 2021', '17:00', 'Gym Time', '1492046']
['Thursday - 13 May 2021', '17:00', 'Sweat Studio Time', '1522505']
['Thursday - 13 May 2021', '17:30', 'Ride Studio Time', '1522885']
['Thursday - 13 May 2021', '17:30', 'Gym Entry Time', '1492075']
['Thursday - 13 May 2021', '18:00', 'Holistic Studio Time', '1522615']
['Thursday - 13 May 2021', '18:00', 'Gym Entry Time', '1492150']
['Thursday - 13 May 2021', '18:00', 'Killer Combat', '1523503']
['Thursday - 13 May 2021', '18:30', 'Gym Entry Time', '1492202']
['Thursday - 13 May 2021', '18:45', 'Ride Studio Time', '1522895']
['Thursday - 13 May 2021', '19:00', 'Gym Entry Time', '1492254']
['Thursday - 13 May 2021', '19:30', 'Gym Entry Time', '1492283']
['Thursday - 13 May 2021', '20:00', 'Gym Entry Time', '1492358']
['Thursday - 13 May 2021', '20:30', 'Gym Entry Time', '1492410']
['Thursday - 13 May 2021', '21:00', 'Gym Entry Time', '1492462']
['Thursday - 13 May 2021', '21:30', 'Gym Entry Time', '1492514']
['Thursday - 13 May 2021', '22:00', 'Last Entry Time', '1497075']
['Friday - 14 May 2021', '22:00', 'Last Entry Time', '1497075']
['Friday - 14 May 2021', '22:00', 'Last Entry Time', '1497075']
['Friday - 14 May 2021', '06:00', 'Gym Entry Time', '1492618']
['Friday - 14 May 2021', '06:30', 'Gym Time', '1492670']
['Friday - 14 May 2021', '07:00', 'Ride Studio Time', '1522905']
['Friday - 14 May 2021', '07:00', 'Gym Entry Time', '1492722']
['Friday - 14 May 2021', '07:00', 'MetCon', '1523531']
['Friday - 14 May 2021', '07:30', 'Sweat Studio Time', '1522415']
['Friday - 14 May 2021', '07:30', 'Gym Time', '1492774']
['Friday - 14 May 2021', '08:00', 'Holistic Studio Time', '1522625']
['Friday - 14 May 2021', '08:00', 'Gym Entry Time', '1492826']
['Friday - 14 May 2021', '08:30', 'Gym Entry Time', '1492878']
['Friday - 14 May 2021', '09:00', 'Gym Time', '1492930']
['Friday - 14 May 2021', '09:30', 'Gym Entry Time', '1492982']
['Friday - 14 May 2021', '10:00', 'Gym Entry Time', '1493034']
['Friday - 14 May 2021', '10:30', 'Gym Entry Time', '1493086']
['Friday - 14 May 2021', '11:00', 'Gym Entry Time', '1493138']
['Friday - 14 May 2021', '11:30', 'Gym Entry Time', '1493190']
['Friday - 14 May 2021', '12:00', 'Ride Studio Time', '1522915']
['Friday - 14 May 2021', '12:00', 'Gym Entry Time', '1493242']
['Friday - 14 May 2021', '12:00', 'Drill Sergeant', '1523519']
['Friday - 14 May 2021', '12:30', 'Gym Entry Time', '1493294']
['Friday - 14 May 2021', '12:30', 'Sweat Studio Time', '1522465']
['Friday - 14 May 2021', '13:00', 'Holistic Studio Time', '1522635']
